TOPIC,SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,1999-2000,1,855.8,14.3,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2001-2002,2,900.4,15.8,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2003-2004,3,917.8,16.6,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2005-2006,4,969.6,18.9,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2007-2008,5,945.9,20.2,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2009-2010,6,1028.6,7.1,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2011-2012,7,1012.2,13.8,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2013-2014,8,978.4,11.2,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2015-2016,9,956.4,19.1,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Total,0,Total,0,1,2 years and older,0,1,Mean intake per person on a given day in milligrams,1,2017-2018,10,967.8,13.1,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,1999-2000,1,919.7,24.1,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2001-2002,2,978.2,21.6,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2003-2004,3,1030,36.5,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2005-2006,4,1025.1,31.9,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2007-2008,5,1026.7,33,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2009-2010,6,1098.6,34.3,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2011-2012,7,1126.4,35.5,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2013-2014,8,1017,23.9,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2015-2016,9,993.4,41.6,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-19 years,1,2,Mean intake per person on a given day in milligrams,1,2017-2018,10,950.8,21.2,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,1999-2000,1,821.3,38.2,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2001-2002,2,967,33.4,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2003-2004,3,1003.3,31.4,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2005-2006,4,904.2,24.5,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2007-2008,5,984.9,34.2,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2009-2010,6,1032,34.3,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2011-2012,7,1006.4,33.6,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2013-2014,8,932.7,33.5,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2015-2016,9,908.9,19.2,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,2-5 years,2,3,Mean intake per person on a given day in milligrams,1,2017-2018,10,959.5,33.7,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,6-11 years,3,4,Mean intake per person on a given day in milligrams,1,1999-2000,1,894.1,32.1,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
Calcium intake,,,Demographic Characteristic,1,Age group,1,2,6-11 years,3,4,Mean intake per person on a given day in milligrams,1,2001-2002,2,964.6,19.7,,,,"FN_NHANESDIET07,FN_NHANESDIET08,NT_NHANES00,SC_NHANES03,SC_NHANES04"
